Type,Price psft
1 ROOM,704.2675617357949
2 ROOM,600.446396508669
3 ROOM,531.2565610186853
4 ROOM,542.2856194170193
5 ROOM,519.3568584852404
Apartment,1972.1948749586081
Condominium,1721.9951762741068
Detached,1560.4103167832523
EXECUTIVE,497.4872702172615
Executive Condominium,1134.7477044710129
MULTI-GENERATION,545.4177364357746
Semi-detached,1599.7712311638084
Strata Detached,810.498814490387
Strata Semi-detached,812.1171708880385
Strata Terrace,992.4608518380867
Terrace,1776.307695998664
